Code	Preferred Term
C7062	Neoplasm by Special Category
C4741	Neoplasm by Morphology
C3263	Neoplasm by Site
C6784	Cystic Neoplasm
C102883	Miscellaneous Neoplasm
C36032	Premalignant Neoplasm
C27933	Neoplasm by Cause
C6974	Neoplasm of Uncertain Histogenesis
C36036	Non-Encapsulated Neoplasm
C27263	Spindle Cell Neoplasm
C36033	Tubular Neoplasm
C36031	Papillary Neoplasm
C36030	Osteolytic Neoplasm
C65157	Neoplasm, Uncertain Whether Benign or Malignant
C7628	Refractory Neoplasm
C3646	Neoplasm of Uncertain Malignant Potential
C36037	Localized Neoplasm
C36012	Nodular Neoplasm
C9305	Malignant Neoplasm
C116915	Liquid Tumor
C3264	Embryonal Neoplasm
C163003	Non-Malignant Neoplasm
C36029	Necrotic Neoplasm
C45230	Neoplasm by Obsolete Classification
C36035	Encapsulated Neoplasm
C6283	Childhood Neoplasm
C36255	Secondary Neoplasm
C36034	Villous Neoplasm
C6930	Mixed Neoplasm
C7201	Rare Neoplasm
C4798	Recurrent Neoplasm
C7068	Neoplastic Polyp
C3261	Metastatic Neoplasm
C3677	Benign Neoplasm
C8509	Primary Neoplasm
C9292	Solid Tumor
C7059	Mesenchymal Cell Neoplasm
C35562	Neuroepithelial, Perineurial, and Schwann Cell Neoplasm
C3709	Epithelial Neoplasm
C7069	Giant Cell Neoplasm
C7058	Melanocytic Neoplasm
C3786	Mesothelioma
C3708	Germ Cell Tumor
C27134	Hematopoietic and Lymphoid Cell Neoplasm
C3010	Endocrine Neoplasm
C3810	Connective and Soft Tissue Neoplasm
C3030	Eye Neoplasm
C3406	Thoracic Neoplasm
C3372	Skin Neoplasm
C2910	Breast Neoplasm
C3268	Nervous System Neoplasm
C7337	Peritoneal and Retroperitoneal Neoplasm
C156482	Genitourinary System Neoplasm
C3052	Digestive System Neoplasm
C4784	Cardiovascular Neoplasm
C3077	Head and Neck Neoplasm
C35813	Hematopoietic and Lymphoid System Neoplasm
C3355	Respiratory System Neoplasm
C168693	Spinal Neoplasm
C192105	Cystic Trophoblastic Tumor
C6566	Childhood Multilocular Cystic Renal Neoplasm
C7504	Cystic Nephroma
C9014	Cystic Teratoma
C39756	Unicystic Ameloblastoma
C2972	Cystadenoma
C2964	Craniopharyngioma
C200227	Pancreatic Cystic Neoplasm
C3516	Aneurysmal Bone Cyst
C201978	Pulmonary Mucinous Cystic Tumor of Borderline Malignancy
C2971	Cystadenocarcinoma
C3765	Multicystic Mesothelioma
C39956	Rete Testis Adenoma
C5751	Liver Mesenchymal Hamartoma
C4524	Multilocular Cystic Renal Cell Carcinoma
C4179	Papillary Cystic Neoplasm
C27771	Old Burn Scar-Related Neoplasm
C27927	Alcohol-Related Carcinoma
C27936	Immunodeficiency-Related Neoplasm
C27224	Infection-Related Neoplasm
C27225	Environment-Related Neoplasm
C3487	Therapy-Related Neoplasm
C27935	Occupational Neoplasm
C27236	Tobacco-Related Carcinoma
C3265	Radiation-Related Neoplasm
C3801	Hemangioblastoma
C202896	GLI1-Altered Soft Tissue Tumor
C27091	Malignant Spindle Cell Neoplasm
C8429	Papillary Epithelial Neoplasm
C92624	Papillary Tumor of the Pineal Region
C3738	Osteoclastic Giant Cell-Rich Tumor of Bone
C2945	Chondroblastoma
C3740	Desmoplastic Fibroma
C27248	Cranial Nodular Fasciitis
C7812	Solitary Osseous Plasmacytoma
